item;coditem;scale;pole;txt_item;ordem;gemini_fator;gemini_faceta
i1;bf_br1;E_soc;1;Eu gosto de estar na companhia de outras pessoas.;1;Extroversão;Sociabilidade
i2;bf_br2;E_soc;1;Conversar com estranhos não me deixa desconfortável.;2;Extroversão;Sociabilidade
i3;bf_br3;E_soc;1;Eu me sinto energizado quando estou em um grupo social.;3;Extroversão;Nível de Energia
i4;bf_br4;E_soc;1;Às vezes, prefiro sair e conhecer novas pessoas a ficar em casa.;4;Extroversão;Sociabilidade
i5;bf_br5;E_soc;1;Fazer novos amigos é algo que eu faço facilmente.;5;Extroversão;Sociabilidade
i6;bf_br6;E_soc;1;Gosto de festas e eventos sociais.;6;Extroversão;Sociabilidade
i7;bf_br7;E_soc;1;Passar tempo com amigos é uma parte importante da minha vida.;7;Extroversão;Sociabilidade
i8;bf_br8;E_soc;1;Às vezes, sinto que preciso estar rodeado de pessoas para me sentir bem.;8;Extroversão;Sociabilidade
i9;bf_br9;E_ass;1;Eu não tenho medo de expressar minha opinião.;9;Extroversão;Assertividade
i10;bf_br10;E_ass;1;Se eu quero algo, vou atrás e tento conseguir.;10;Extroversão;Assertividade
i11;bf_br11;E_ass;1;Eu sou bom em tomar decisões rapidamente.;11;Extroversão;Assertividade
i12;bf_br12;E_ass;1;Não tenho problemas em pedir o que preciso aos outros.;12;Extroversão;Assertividade
i13;bf_br13;E_ass;1;Às vezes, sou visto como alguém muito direto.;13;Extroversão;Assertividade
i14;bf_br14;E_ass;1;Gosto de liderar e assumir o controle em situações de grupo.;14;Extroversão;Assertividade
i15;bf_br15;E_ass;1;Quando discordo de algo, não hesito em falar.;15;Extroversão;Assertividade
i16;bf_br16;E_ass;1;Raramente hesito em iniciar uma conversa ou interação com estranhos.;16;Extroversão;Sociabilidade
i17;bf_br17;E_ene;1;Eu tenho energia de sobra durante o dia.;17;Extroversão;Nível de Energia
i18;bf_br18;E_ene;1;Às vezes, tenho dificuldade para ficar parado por muito tempo.;18;Extroversão;Nível de Energia
i19;bf_br19;E_ene;1;Eu me sinto mais ativo durante o dia do que à noite.;19;Extroversão;Nível de Energia
i20;bf_br20;E_ene;1;Gosto de me envolver em atividades físicas e esportivas.;20;Extroversão;Nível de Energia
i21;bf_br21;E_ene;1;Às vezes, fico ansioso se não tiver algo para fazer.;21;Neuroticismo;Ansiedade
i22;bf_br22;E_ene;1;Sou conhecido por ser alguém agitado.;22;Extroversão;Nível de Energia
i23;bf_br23;E_ene;1;Ficar parado me deixa entediado.;23;Extroversão;Nível de Energia
i24;bf_br24;E_ene;1;Mesmo após um dia agitado, ainda tenho disposição para fazer mais coisas.;24;Extroversão;Nível de Energia
i25;bf_br25;A_com;1;Eu costumo me preocupar com os sentimentos dos outros.;25;Amabilidade;Compaixão
i26;bf_br26;A_com;1;Gosto de ajudar as pessoas quando elas estão passando por dificuldades.;26;Amabilidade;Compaixão
i27;bf_br27;A_com;1;Fico triste quando vejo alguém sofrer.;27;Amabilidade;Compaixão
i28;bf_br28;A_com;1;Sempre tento ser solidário com amigos e familiares.;28;Amabilidade;Compaixão
i29;bf_br29;A_com;1;Tenho facilidade em demonstrar empatia pelos outros.;29;Amabilidade;Compaixão
i30;bf_br30;A_com;1;Às vezes, coloco as necessidades dos outros antes das minhas.;30;Amabilidade;Compaixão
i31;bf_br31;A_com;1;Ajudar os outros me faz sentir bem comigo mesmo.;31;Amabilidade;Compaixão
i32;bf_br32;A_com;1;Fico feliz quando posso fazer algo de bom para alguém.;32;Amabilidade;Compaixão
i33;bf_br33;A_res;1;Acredito que todos merecem ser tratados com dignidade.;33;Amabilidade;Respeito
i34;bf_br34;A_res;1;Sempre tento ser educado e respeitoso com os outros.;34;Amabilidade;Respeito
i35;bf_br35;A_res;1;Não gosto de falar mal de ninguém.;35;Amabilidade;Respeito
i36;bf_br36;A_res;1;Procuro ouvir as opiniões dos outros, mesmo se não concordo.;36;Amabilidade;Respeito
i37;bf_br37;A_res;1;Evito julgar as pessoas com base em aparências.;37;Amabilidade;Respeito
i38;bf_br38;A_res;1;Respeitar os outros é importante para mim.;38;Amabilidade;Respeito
i39;bf_br39;A_res;1;Acredito que devemos tratar as pessoas com bondade.;39;Amabilidade;Compaixão
i40;bf_br40;A_res;1;Sempre tento ser justo e imparcial em meus julgamentos.;40;Conscienciosidade;Responsabilidade
i41;bf_br41;A_con;1;Geralmente acredito nas boas intenções das pessoas.;41;Amabilidade;Confiança
i42;bf_br42;A_con;1;Acredito que a maioria das pessoas é honesta e confiável.;42;Amabilidade;Confiança
i43;bf_br43;A_con;1;Costumo confiar nas palavras das pessoas até que provem o contrário.;43;Amabilidade;Confiança
i44;bf_br44;A_con;1;Gosto de pensar bem dos outros, a menos que haja razões para não fazê-lo.;44;Amabilidade;Confiança
i45;bf_br45;A_con;1;Sou alguém que acredita nas promessas dos outros.;45;Amabilidade;Confiança
i46;bf_br46;A_con;1;Geralmente dou o benefício da dúvida às pessoas.;46;Amabilidade;Confiança
i47;bf_br47;A_con;1;Acredito que a confiança é fundamental em qualquer relacionamento.;47;Amabilidade;Confiança
i48;bf_br48;A_con;1;Raramente questiono as intenções dos outros, a menos que haja evidências claras do contrário.;48;Amabilidade;Confiança
i49;bf_br49;C_org;1;Eu gosto de manter as coisas em ordem e arrumadas.;49;Conscienciosidade;Organização
i50;bf_br50;C_org;1;Tenho o hábito de fazer listas para me lembrar das tarefas.;50;Conscienciosidade;Organização
i51;bf_br51;C_org;1;Eu costumo separar meu tempo para diferentes atividades.;51;Conscienciosidade;Organização
i52;bf_br52;C_org;1;Manter meu espaço de trabalho organizado é importante para mim.;52;Conscienciosidade;Organização
i53;bf_br53;C_org;1;Evito deixar coisas espalhadas e desorganizadas.;53;Conscienciosidade;Organização
i54;bf_br54;C_org;1;Planejar com antecedência é algo que faço regularmente.;54;Conscienciosidade;Organização
i55;bf_br55;C_org;1;Gosto de saber onde estão todas as minhas coisas.;55;Conscienciosidade;Organização
i56;bf_br56;C_org;1;Sempre tento criar sistemas para facilitar minha vida.;56;Conscienciosidade;Organização
